날짜,주식,주가변동여부,거래량변동여부
2021-04-15,카카오게임즈,1,1
2021-04-14,카카오게임즈,0,0
2021-04-13,카카오게임즈,1,1
2021-04-12,카카오게임즈,1,1
2021-04-09,카카오게임즈,0,0
2021-04-08,카카오게임즈,1,0
2021-04-07,카카오게임즈,1,1
2021-04-06,카카오게임즈,1,1
2021-04-05,카카오게임즈,1,1
2021-04-02,카카오게임즈,0,0
2021-04-01,카카오게임즈,0,0
2021-03-31,카카오게임즈,0,0
2021-03-30,카카오게임즈,1,1
2021-03-29,카카오게임즈,0,1
2021-03-26,카카오게임즈,0,0
2021-03-25,카카오게임즈,1,1
2021-03-24,카카오게임즈,1,0
2021-03-23,카카오게임즈,0,1
2021-03-22,카카오게임즈,0,0
2021-03-19,카카오게임즈,1,1
2021-03-18,카카오게임즈,1,1
2021-03-17,카카오게임즈,1,1
2021-03-16,카카오게임즈,1,0
2021-03-15,카카오게임즈,0,0
2021-03-12,카카오게임즈,1,1
2021-03-11,카카오게임즈,1,0
2021-03-10,카카오게임즈,0,1
2021-03-09,카카오게임즈,0,1
2021-03-08,카카오게임즈,0,0
2021-03-05,카카오게임즈,0,1
2021-03-04,카카오게임즈,0,0
2021-03-03,카카오게임즈,0,0
2021-03-02,카카오게임즈,0,0
2021-02-26,카카오게임즈,0,0
2021-02-25,카카오게임즈,1,1
2021-02-24,카카오게임즈,1,1
2021-02-23,카카오게임즈,0,0
2021-02-22,카카오게임즈,0,0
2021-02-19,카카오게임즈,1,1
2021-02-18,카카오게임즈,0,0
2021-02-17,카카오게임즈,0,0
2021-02-16,카카오게임즈,0,1
2021-02-15,카카오게임즈,1,0
2021-02-10,카카오게임즈,1,1
2021-02-09,카카오게임즈,0,0
2021-02-08,카카오게임즈,1,1
2021-02-05,카카오게임즈,1,1
2021-02-04,카카오게임즈,0,0
2021-02-03,카카오게임즈,0,0
2021-02-02,카카오게임즈,1,1
2021-02-01,카카오게임즈,1,1
2021-01-29,카카오게임즈,0,1
2021-01-28,카카오게임즈,0,1
2021-01-27,카카오게임즈,0,0
2021-01-26,카카오게임즈,0,0
2021-01-25,카카오게임즈,1,0
2021-01-22,카카오게임즈,1,1
2021-01-21,카카오게임즈,1,1
2021-01-20,카카오게임즈,1,1
2021-01-19,카카오게임즈,1,0
2021-01-18,카카오게임즈,0,0
2021-01-15,카카오게임즈,0,1
2021-01-14,카카오게임즈,0,0
2021-01-13,카카오게임즈,1,0
2021-01-12,카카오게임즈,0,0
2021-01-11,카카오게임즈,0,0
2021-01-08,카카오게임즈,1,1
2021-01-07,카카오게임즈,1,0
2021-01-06,카카오게임즈,0,0
2021-01-05,카카오게임즈,1,1
2021-01-04,카카오게임즈,0,1
2020-12-30,카카오게임즈,1,1
2020-12-29,카카오게임즈,0,0
2020-12-28,카카오게임즈,1,1
2020-12-24,카카오게임즈,1,0
2021-07-16,iMBC,1,1
2021-07-15,iMBC,0,0
2021-07-14,iMBC,1,1
2021-07-13,iMBC,1,0
2021-07-12,iMBC,1,0
2021-07-09,iMBC,0,0
2021-07-08,iMBC,0,1
2021-07-07,iMBC,0,0
2021-07-06,iMBC,1,1
2021-07-05,iMBC,1,1
2021-07-02,iMBC,0,0
2021-07-01,iMBC,0,1
2021-06-30,iMBC,0,0
2021-06-29,iMBC,0,1
2021-06-28,iMBC,1,1
2021-06-25,iMBC,1,1
2021-06-24,iMBC,0,1
2021-06-23,iMBC,0,0
2021-06-22,iMBC,1,0
2021-06-21,iMBC,0,1
2021-06-18,iMBC,1,0
2021-06-17,iMBC,1,1
2021-06-16,iMBC,0,1
2021-06-15,iMBC,0,0
2021-06-14,iMBC,1,1
2021-06-11,iMBC,1,0
2021-06-10,iMBC,0,1
2021-06-09,iMBC,0,0
2021-06-08,iMBC,0,0
2021-06-07,iMBC,1,1
2021-06-04,iMBC,1,0
2021-06-03,iMBC,1,1
2021-06-02,iMBC,0,0
2021-06-01,iMBC,0,0
